City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,bloemfontein,-29.1211,26.214,280.86,61,91,1.54,ZA,1692322577
179,port lincoln,-34.7333,135.8667,286.77,70,98,8.12,AU,1692322550
180,yushu,44.8,126.5333,300.24,80,31,4.44,CN,1692322577
181,migennes,47.9655,3.5179,292.03,91,3,1.87,FR,1692322577
182,ventspils,57.3894,21.5606,291.11,100,0,2.06,LV,1692322578
183,toguchin,55.2353,84.3858,285.95,84,100,1.88,RU,1692322578
184,seosan,36.7817,126.4522,301.55,69,0,1.23,KR,1692322579
185,rehoboth,-23.3167,17.0833,286.72,33,82,3.01,NA,1692322579
186,ola,59.5833,151.2833,289.34,82,100,0.28,RU,1692322579
187,sanctuary point,-35.1114,150.629,287.7,60,96,8.36,AU,1692322580
188,kavaratti,10.5669,72.642,300.8,74,100,4.22,IN,1692322580
189,polyarnyy,69.1989,33.4478,281.69,88,100,9.17,RU,1692322580
190,olonkinbyen,70.9221,-8.7187,279.54,93,100,3.86,SJ,1692322495
191,northam,51.0333,-4.2167,291.62,84,100,8.57,GB,1692322581
192,jiazi,22.8779,116.067,303.31,74,42,4.76,CN,1692322581
193,pisco,-13.7,-76.2167,292.18,77,100,5.66,PE,1692322581
194,jinchang,38.4953,102.1739,296.96,25,93,1.43,CN,1692322582
195,chipinge,-20.1883,32.6236,285.79,78,91,1.27,ZW,1692322582
196,takayama,36.1333,137.25,296.8,87,99,1.1,JP,1692322583
197,ta`u,-14.2336,-169.5144,300.37,80,24,8.51,AS,1692322583
198,mossel bay,-34.1831,22.146,284.11,68,7,4.03,ZA,1692322583
199,vilyuchinsk,52.9306,158.4028,292.3,98,100,2.7,RU,1692322503
200,belmonte,-15.8631,-38.8828,295.29,84,53,2.75,BR,1692322584
201,cidreira,-30.1811,-50.2056,290.92,94,7,2.05,BR,1692322584
202,rio grande,-32.035,-52.0986,289.79,99,100,1.73,BR,1692322584
203,nuku'alofa,-21.1333,-175.2,296.34,83,75,2.06,TO,1692322584
204,gadzhiyevo,69.2551,33.3362,281.46,88,100,9.41,RU,1692322585
205,sisimiut,66.9395,-53.6735,279.49,82,6,1.68,GL,1692322585
206,sao felix do xingu,-6.6447,-51.995,301.66,39,100,0.96,BR,1692322585
207,nova sintra,14.8667,-24.7167,297.12,85,83,5.35,CV,1692322586
208,laguna,38.421,-121.4238,312.81,39,0,5.66,US,1692322586
209,illizi,26.4833,8.4667,303.04,18,2,1.41,DZ,1692322586
210,phan thiet,10.9333,108.1,302.67,72,100,5.13,VN,1692322586
211,ust'-kulom,61.6864,53.6902,291.36,84,64,2.45,RU,1692322586
212,las lomitas,-24.7096,-60.593,301.12,32,1,3.01,AR,1692322587
213,utrik,11.2278,169.8474,301.56,74,8,5.57,MH,1692322587
214,salekhard,66.53,66.6019,288.76,79,100,2.08,RU,1692322588
215,haiku-pauwela,20.9219,-156.3051,302.69,61,8,5.81,US,1692322588
216,angaur state,6.906,134.13,300.96,79,99,5.22,PW,1692322588
217,hilo,19.7297,-155.09,300.0,83,100,4.12,US,1692322378
218,berezniki,59.4152,56.8124,291.25,79,10,1.59,RU,1692322589
219,ust-tsilma,65.441,52.1498,289.82,95,100,2.76,RU,1692322590
220,lihue,21.9789,-159.3672,302.92,66,40,6.69,US,1692322373
221,sambava,-14.2667,50.1667,294.56,82,12,4.36,MG,1692322590
222,mujiayingzi,42.1167,118.7833,301.23,37,9,2.59,CN,1692322591
223,mana,5.6592,-53.7767,298.76,89,69,3.28,GF,1692322591
224,benque viejo el carmen,17.075,-89.1392,301.16,89,0,0.0,BZ,1692322591
225,borongan,11.6333,125.4333,302.98,64,100,1.29,PH,1692322592
226,rongelap,11.1635,166.8941,301.64,74,22,5.47,MH,1692322592
227,praia da vitoria,38.7333,-27.0667,297.29,88,75,7.07,PT,1692322592
228,carnarvon,-24.8667,113.6333,292.59,33,0,10.75,AU,1692322504
229,ust-nera,64.5667,143.2,295.34,51,44,0.27,RU,1692322593
230,darnah,32.767,22.6367,298.23,82,0,7.93,LY,1692322593
231,poninka,50.1849,27.5363,289.77,61,13,2.31,UA,1692322594
232,mersing,2.4312,103.8405,297.1,94,40,1.54,MY,1692322594
233,darwin,-12.4611,130.8418,303.09,58,20,2.06,AU,1692322594
234,tsiombe,-25.3,45.4833,288.47,75,44,2.6,MG,1692322594
235,kuusamo,65.9667,29.1833,279.17,87,0,1.03,FI,1692322595
236,narvik,68.4384,17.4272,283.29,86,100,0.86,NO,1692322399
237,quellon,-43.1167,-73.6167,277.29,100,100,2.57,CL,1692322595
238,ha'il,27.5219,41.6907,301.16,16,0,2.06,SA,1692322595
239,griffith,41.5284,-87.4237,294.42,60,0,7.2,US,1692322596
240,constantia,44.1833,28.65,297.53,76,2,5.5,RO,1692322596
241,namibe,-15.1961,12.1522,288.49,87,3,1.24,AO,1692322596
242,hulan ergi,47.2042,123.6333,293.16,78,100,4.47,CN,1692322596
243,phongsali,21.6833,102.1058,296.59,72,98,0.72,LA,1692322597
244,zyrya,40.3661,50.2917,298.2,68,0,4.49,AZ,1692322597
245,ambon,-3.6954,128.1814,299.63,73,86,5.86,ID,1692322597
246,saint-denis,48.9167,2.3333,294.34,85,0,3.09,FR,1692322598
247,port blair,11.6667,92.75,302.17,79,40,4.12,IN,1692322598
248,sarikei,2.1167,111.5167,298.76,60,44,1.3,MY,1692322598
249,pathein,16.7833,94.7333,301.16,80,48,3.12,MM,1692322598
250,matoury,4.8483,-52.3317,299.13,94,0,1.03,GF,1692322348
251,julio de castilhos,-29.2269,-53.6817,291.2,87,0,3.78,BR,1692322492
252,dakhla,23.6848,-15.958,293.18,91,6,6.53,EH,1692322599
253,fort bragg,35.139,-79.006,301.43,81,0,4.12,US,1692322600
254,white house,36.4703,-86.6514,298.6,83,70,2.77,US,1692322400
255,ati,13.2154,18.3353,302.4,58,100,3.38,TD,1692322600
256,tobruk,32.0836,23.9764,298.45,83,0,6.7,LY,1692322600
257,ennis,52.8436,-8.9864,290.11,88,75,5.66,IE,1692322601
258,harstad,68.799,16.5293,283.28,87,84,3.58,NO,1692322601
259,kokoda,-8.8785,147.7407,302.06,71,87,1.68,PG,1692322601
260,az zubayr,30.3945,47.7011,305.07,89,0,2.57,IQ,1692322601
261,tuma,55.148,40.5537,290.31,88,1,2.14,RU,1692322602
262,paraty,-23.2178,-44.7131,295.06,75,0,1.69,BR,1692322602
263,edmundston,47.3737,-68.3251,293.28,82,100,5.14,CA,1692322602
264,rockingham,42.9668,-71.0995,293.74,89,95,1.54,US,1692322602
265,tobelo,1.7284,128.0095,301.96,65,100,1.88,ID,1692322603
266,ingeniero jacobacci,-41.3427,-69.5448,272.17,75,6,6.21,AR,1692322603
267,jimo,36.3897,120.4622,302.03,79,0,4.0,CN,1692322603
268,sitka,57.0531,-135.33,288.09,77,75,1.54,US,1692322603
269,tralee,52.2704,-9.7026,288.05,87,100,5.46,IE,1692322604
270,iskateley,67.6803,53.1512,288.77,98,100,4.54,RU,1692322505
271,east london,-33.0153,27.9116,287.65,68,0,4.05,ZA,1692322604
272,gaomi,36.3833,119.7528,303.92,57,57,3.5,CN,1692322604
273,belidzhi,41.8918,48.4125,297.35,75,2,1.2,RU,1692322605
274,klyuchi,52.2667,79.1667,287.38,78,100,3.41,RU,1692322605
275,minas de marcona,-15.2119,-75.1103,285.14,88,83,6.94,PE,1692322605
276,hammerfest,70.6634,23.6821,283.4,71,100,9.26,NO,1692322606
277,alice springs,-23.7,133.8833,288.9,53,0,25.48,AU,1692322606
278,ambodifotatra,-16.9833,49.85,295.85,79,33,1.58,MG,1692322606
279,akureyri,65.6835,-18.0878,284.11,82,75,0.0,IS,1692322606
280,santana,-0.0583,-51.1817,302.25,84,20,4.63,BR,1692322606
281,nadym,65.5333,72.5167,285.18,85,100,2.25,RU,1692322607
282,la ronge,55.1001,-105.2842,298.27,50,40,2.06,CA,1692322607
283,trairi,-3.2778,-39.2689,298.29,86,19,5.09,BR,1692322607
284,carolina beach,34.0352,-77.8936,301.01,87,30,5.16,US,1692322607
285,san mariano,7.5,126.0,300.05,74,100,0.86,PH,1692322608
286,coxen hole,16.3244,-86.5366,301.75,84,20,5.66,HN,1692322608
287,pirallahi,40.4723,50.333,298.23,66,0,4.21,AZ,1692322608
288,laojunmiao,39.8333,97.7333,291.18,28,62,5.07,CN,1692322609
289,mejit,10.2753,170.8646,301.32,76,11,6.02,MH,1692322510
290,berdigestyakh,62.0989,126.6992,294.79,51,0,4.96,RU,1692322500
291,awjilah,29.1081,21.2869,298.18,47,0,4.42,LY,1692322609
292,maloye ganyushkino,46.6,49.2667,298.4,42,62,3.29,KZ,1692322609
293,vandalia,39.8906,-84.1988,293.1,96,100,4.12,US,1692322610
294,ghanzi,-21.5667,21.7833,288.49,27,63,1.82,BW,1692322610
295,touros,-5.1989,-35.4608,296.87,84,12,4.75,BR,1692322610
296,mermoz boabab,14.7065,-17.4758,301.03,83,20,1.03,SN,1692322610
297,lautoka,-17.6167,177.4667,303.07,66,40,5.66,FJ,1692322611
298,kununurra,-15.7667,128.7333,303.14,28,67,5.14,AU,1692322611
299,karlivka,49.4567,35.1295,290.08,71,0,3.14,UA,1692322611
300,sayat,38.7839,63.8803,292.08,22,0,3.4,TM,1692322611
301,bamboo flat,11.7,92.7167,302.2,79,40,4.12,IN,1692322612
302,bubaque,11.2833,-15.8333,299.8,83,96,5.74,GW,1692322612
303,aasiaat,68.7098,-52.8699,274.69,77,0,2.44,GL,1692322485
304,callao,-12.0667,-77.15,293.31,73,100,5.66,PE,1692322497
305,katsuura,35.1333,140.3,303.16,77,0,5.06,JP,1692322612
306,morehead city,34.7229,-76.726,301.15,86,40,6.69,US,1692322613
307,okakarara,-20.5833,17.4333,286.46,36,4,3.14,NA,1692322613
308,upington,-28.4478,21.2561,280.36,42,0,1.54,ZA,1692322613
309,sheboygan,43.7333,-87.9334,291.14,70,0,2.57,US,1692322613
310,sena madureira,-9.0656,-68.6569,298.41,67,8,1.19,BR,1692322614
311,mbanza-ngungu,-5.25,14.8667,292.92,74,14,3.77,CD,1692322614
312,lakatoro,-16.0999,167.4164,298.5,78,70,6.07,VU,1692322614
313,shingu,33.7333,135.9833,299.98,86,100,0.42,JP,1692322614
314,potosi,-19.5836,-65.7531,280.2,14,0,2.67,BO,1692322484
315,east ballina,-28.8667,153.5833,296.93,53,72,7.72,AU,1692322335
316,eraan,9.0629,117.7016,302.82,66,89,2.4,PH,1692322616
317,nouadhibou,20.931,-17.0347,297.14,83,100,5.14,MR,1692322616
318,thohoyandou,-22.9456,30.485,288.46,63,19,1.38,ZA,1692322402
319,marsh harbour,26.5412,-77.0636,302.53,74,100,3.92,BS,1692322521
320,galle,6.0367,80.217,300.28,80,100,6.1,LK,1692322617
321,carutapera,-1.195,-46.02,297.85,89,6,2.58,BR,1692322617
322,thetford-mines,46.0937,-71.3054,291.21,84,0,3.48,CA,1692322327
323,frontera,26.9333,-101.45,312.01,25,40,4.12,MX,1692322618
324,hidalgo,20.5,-99.0,290.29,85,100,2.8,MX,1692322618
325,bodo,67.28,14.405,284.17,82,100,3.09,NO,1692322618
326,remire-montjoly,4.9167,-52.2667,299.17,94,20,0.0,GF,1692322618
327,plettenberg bay,-34.0527,23.3716,284.71,74,7,3.43,ZA,1692322619
328,tsarevo,42.1667,27.85,295.53,93,14,3.47,BG,1692322619
329,wenatchee,47.4235,-120.3103,309.31,21,0,6.69,US,1692322619
330,bhimunipatnam,17.8833,83.4333,298.08,91,100,0.66,IN,1692322620
331,kharp,66.8014,65.8081,287.64,88,100,1.65,RU,1692322620
332,fendou,46.65,124.8667,294.55,94,94,6.05,CN,1692322620
333,uitenhage,-33.7576,25.3971,285.92,80,5,2.76,ZA,1692322620
334,dryden,49.7833,-92.7503,290.31,55,0,2.57,CA,1692322621
335,sinabang,2.4803,96.3801,300.3,81,99,1.19,ID,1692322621
336,mili,6.0815,171.735,301.75,72,100,3.22,MH,1692322621
337,pasinler,39.9803,41.6764,288.7,56,6,0.61,TR,1692322622
338,al wakrah,24.85,51.3333,306.2,48,12,3.39,QA,1692322622
339,khandyga,62.6667,135.6,296.11,57,5,0.8,RU,1692322622
340,lauro de freitas,-12.8944,-38.3272,298.16,83,75,4.12,BR,1692322622
341,san luis de la loma,17.2706,-100.8939,299.75,78,97,1.86,MX,1692322623
342,madridejos,39.4682,-3.532,295.93,27,7,1.71,ES,1692322623
343,malvan,16.0667,73.4667,299.45,81,98,2.47,IN,1692322623
344,ancud,-41.8697,-73.8203,279.64,78,90,4.59,CL,1692322624
345,port saint john's,-31.6229,29.5448,289.54,80,52,4.07,ZA,1692322506
346,afaahiti,-17.75,-149.2833,299.08,73,88,10.34,PF,1692322624
347,itoman,26.1247,127.6694,302.58,84,75,1.54,JP,1692322625
348,homer,59.6425,-151.5483,290.08,76,0,6.17,US,1692322626
349,san antonio de pale,-1.4014,5.6325,296.32,90,100,6.53,GQ,1692322626
350,mabaruma,8.2,-59.7833,297.93,91,14,1.19,GY,1692322626
351,nemuro,43.3236,145.575,294.24,86,32,0.83,JP,1692322496
352,vorkuta,67.5,64.0,286.81,87,100,1.96,RU,1692322627
353,nzerekore,7.7562,-8.8179,294.27,99,100,0.83,GN,1692322627
354,happy valley-goose bay,53.3168,-60.3315,294.32,64,40,3.09,CA,1692322627
355,cheremushki,52.8356,91.3944,287.9,88,93,2.75,RU,1692322627
356,butterworth,5.3991,100.3638,303.18,86,20,1.54,MY,1692322628
357,papao,-17.75,-149.55,299.97,73,59,11.36,PF,1692322628
358,flin flon,54.7682,-101.865,292.39,59,72,4.14,CA,1692322628
359,mata de sao joao,-12.5303,-38.2992,298.01,98,62,0.78,BR,1692322628
360,gizo,-8.103,156.8419,299.9,83,86,5.42,SB,1692322629
361,katima mulilo,-17.5,24.2667,287.7,41,16,2.38,NA,1692322629
362,shortandy,51.7006,70.9994,291.57,60,99,2.79,KZ,1692322629
363,vadso,70.0744,29.7487,282.24,81,40,6.69,NO,1692322629
